fid,STRINGGUID,KODIERUNG,BAUMNR,TYP,GEFAELLT_A,ART,PFLEGE,KD,CREATE_BY,CHANGE_BY,CREATE_DAT,CHANGE_DAT,Rechtswert,Hochwert,Baumart_la,Sorte,Bewaesseru,Baumalter,GA_NR,GA_NAME,Pflanzdatu,id,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
176,{AE277579-9D6F-4527-90CA-E797A83D917C},,"1.01215",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/09,0,0,Liquidambar  styraciflua,Worplesdon,"3",17 Jahre,1/001/012,Stadtgrabenstraße,06.03.2006 00:00:00,1,Amerikanischer Amberbaum,Liquidambar  styraciflua,0.17,4.4,8.5,"4 qm, Rigole"
192,{D290C289-8C9B-4AC3-BB4D-94A8BCA4646F},,"1.32303",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/09,0,0,TILIA CORDATA,Greenspire,"9",11 Jahre,1/001/074,"John Bopp, Kegel, u. Rathaus Straße",04.11.2010,1,Winterlinde,Tilia cordata,0.19,6.5,8.2,"3 qm, bewachsen mit Kartoffelrose"
193,{07EC7AB0-E0F4-44BC-A3D4-B6B4337FAA1B},,"1.51001",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,Fastigiata,"0",28 Jahre,1/001/167,Zwerchstraße,27.12.1994 00:00:00,1,Hainbuche,Carpinus betulus,0.27,5.7,10.7,"3 qm, Rigole mit Spontanbewuchs "
194,{57D8289D-EF6C-49B6-B235-3A04C4EB5E20},,"1.51002",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,Fastigiata,"0",28 Jahre,1/001/167,Zwerchstraße,27.12.1994 00:00:00,1,Hainbuche,Carpinus betulus,0.31,6.3,11.8,"3 qm, Rigole"
195,{C1D35079-8A2F-4970-AC73-EDBA40DDD06C},,"1.51003",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,Fastigiata,"0",29 Jahre,1/001/167,Zwerchstraße,27.12.1994 00:00:00,1,Hainbuche,Carpinus betulus,0.25,6.8,11.7,"3 qm, Rigole"
196,{DB0D0922-075C-46AF-9C1C-DA106CEE0D82},,"1.51004",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,Fastigiata,"0",29 Jahre,1/001/167,Zwerchstraße,27.12.1994 00:00:00,1,Hainbuche,Carpinus betulus,0.3,7,12.9,"3 qm, Rigole mit Spontanbewuchs "
197,{7DEE68F1-91C9-45F2-A819-3291242DD10F},,"1.32301",B,,Laubbaum,False,3,,bruchsal_baum,,2024/01/09,0,0,TILIA CORDATA,Greenspire,"9",11 Jahre,1/001/074,"John Bopp, Kegel, u. Rathaus Straße",04.11.2010,1,Winterlinde,Tilia cordata,0.17,4,8.5,"3 qm, bewachsen mit Kartoffelrose"
198,{088F1243-E9A5-43B4-96F1-1F0E4FD9E0FE},,"1.32302",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/09,0,0,TILIA CORDATA,Greenspire,"9",13 Jahre,1/001/074,"John Bopp, Kegel, u. Rathaus Straße",04.11.2010 00:00:00,1,Winterlinde,Tilia cordata,0.16,6,8.6,"3 qm, bewachsen mit Kartoffelrose"
199,{B0753AC5-988F-4C34-A766-E63C2E3C3965},,"1.32304",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/09,0,0,TILIA CORDATA,Greenspire,"9",11 Jahre,1/001/074,"John Bopp, Kegel, u. Rathaus Straße",04.11.2010,1,Winterlinde,Tilia cordata,0.16,5.7,7.7,"3 qm, bewachsen mit Kartoffelrose"
200,{73F2E940-317F-40B2-BA52-58806F393425},,"1.32305",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/09,0,0,Acer campestre,Green Top,"9",11 Jahre,1/001/074,"John Bopp, Kegel, u. Rathaus Straße",04.11.2010,1,Feldahorn,Acer campestre,0.14,4.7,6.5,"3 qm,  verdichteter Boden "
201,{FA121FD3-687C-45E5-BB86-F63D3A4FF5AE},,"1.32306",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/09,0,0,Acer campestre,Green Top,"9",11 Jahre,1/001/074,"John Bopp, Kegel, u. Rathaus Straße",04.11.2010,1,Feldahorn,Acer campestre,0.12,4.8,7,"3 qm, verdichteter Boden "
